line_id,po_number,vendor_id,material_id,plant,date,quantity,unit_price,net_value
L00042,45100014,V03,M06,Plant 1010,2026-02-20,105,10.48,1100.4
L00043,45100014,V05,M06,Plant 1000,2026-03-31,117,42.23,4940.91
L00044,45100014,V06,M06,Plant 1000,2026-02-23,246,53.93,13266.78
L00045,45100015,V01,M02,Plant 1010,2026-03-13,167,53.3,8901.1
L00046,45100015,V02,M05,Plant 1010,2026-02-22,217,26.66,5785.22
L00047,45100015,V06,M05,Plant 1010,2026-03-03,109,14.61,1592.49
L00048,45100016,V01,M03,Plant 1000,2026-05-27,147,47.36,6961.92
L00049,45100016,V06,M05,Plant 1010,2026-05-19,23,31.15,716.45
L00050,45100016,V01,M03,Plant 1020,2026-07-02,267,19.99,5337.33
L00051,45100017,V03,M03,Plant 1020,2026-03-18,219,23.69,5188.11
L00052,45100017,V06,M05,Plant 1020,2026-05-18,244,9.53,2325.32
L00053,45100017,V04,M05,Plant 1020,2026-06-15,106,53.3,5649.8
L00054,45100018,V01,M03,Plant 1010,2026-08-01,5,22.24,111.2
L00055,45100018,V05,M05,Plant 1020,2026-07-01,77,19.25,1482.25
L00056,45100018,V04,M04,Plant 1010,2026-06-03,120,28.15,3378.0
L00057,45100019,V06,M04,Plant 1010,2026-05-22,86,33.58,2887.88
L00058,45100019,V06,M03,Plant 1010,2026-06-20,133,24.02,3194.66
L00059,45100019,V03,M04,Plant 1000,2026-04-27,78,27.28,2127.84
L00060,45100020,V06,M05,Plant 1000,2026-06-06,130,17.53,2278.9
L00061,45100020,V04,M01,Plant 1000,2026-06-15,277,31.7,8780.9
L00062,45100020,V04,M01,Plant 1000,2026-04-16,255,16.19,4128.45
L00063,45100021,V06,M03,Plant 1010,2026-04-29,257,34.23,8797.11
L00064,45100021,V05,M06,Plant 1000,2026-07-17,65,2.86,185.9
L00065,45100021,V03,M03,Plant 1020,2026-06-29,177,34.52,6110.04
L00066,45100022,V05,M01,Plant 1020,2026-06-11,184,21.14,3889.76
L00067,45100022,V05,M02,Plant 1010,2026-02-22,6,15.38,92.28
L00068,45100022,V06,M01,Plant 1010,2026-08-07,284,12.13,3444.92
L00069,45100023,V04,M05,Plant 1010,2026-07-10,251,47.51,11925.01
L00070,45100023,V04,M04,Plant 1010,2026-08-06,105,49.64,5212.2
L00071,45100023,V01,M03,Plant 1020,2026-02-13,226,32.85,7424.1
L00072,45100024,V04,M03,Plant 1020,2026-03-21,89,27.36,2435.04
L00073,45100024,V04,M03,Plant 1020,2026-06-30,83,24.55,2037.65
L00074,45100024,V01,M01,Plant 1000,2026-04-12,141,45.44,6407.04
L00075,45100025,V06,M01,Plant 1010,2026-05-09,224,53.87,12066.88
L00076,45100025,V06,M04,Plant 1000,2026-02-25,68,46.63,3170.84
L00077,45100025,V05,M06,Plant 1020,2026-03-13,73,54.68,3991.64
L00078,45100026,V04,M02,Plant 1000,2026-03-31,99,23.94,2370.06
L00079,45100026,V01,M05,Plant 1020,2026-04-08,27,31.44,848.88
L00080,45100026,V04,M06,Plant 1020,2026-03-03,148,5.05,747.4
L00081,45100027,V01,M06,Plant 1000,2026-05-26,73,2.53,184.69
L00082,45100027,V03,M06,Plant 1020,2026-07-16,255,27.95,7127.25
L00083,45100027,V03,M01,Plant 1020,2026-03-20,155,10.01,1551.55
L00084,45100028,V06,M05,Plant 1000,2026-04-28,289,31.14,8999.46
L00085,45100028,V03,M01,Plant 1010,2026-07-04,125,15.47,1933.75
L00086,45100028,V05,M02,Plant 1010,2026-04-14,195,26.03,5075.85
L00087,45100029,V02,M02,Plant 1020,2026-02-17,179,6.52,1167.08
L00088,45100029,V01,M01,Plant 1000,2026-03-16,264,33.48,8838.72
L00089,45100029,V04,M04,Plant 1020,2026-06-15,170,7.7,1309.0
L00090,45100030,V01,M05,Plant 1010,2026-05-22,32,46.96,1502.72
L00091,45100030,V06,M02,Plant 1020,2026-03-14,47,53.55,2516.85
L00092,45100030,V04,M02,Plant 1000,2026-03-20,197,20.78,4093.66
L00093,45100031,V03,M03,Plant 1010,2026-07-20,183,44.19,8086.77
L00094,45100031,V02,M06,Plant 1010,2026-05-15,156,44.64,6963.84
L00095,45100031,V03,M05,Plant 1000,2026-02-22,298,13.39,3990.22
L00096,45100032,V04,M01,Plant 1000,2026-03-09,23,3.76,86.48
L00097,45100032,V02,M01,Plant 1010,2026-06-18,251,37.05,9299.55
L00098,45100032,V01,M04,Plant 1020,2026-06-13,158,49.16,7767.28
L00099,45100033,V04,M03,Plant 1000,2026-06-12,241,7.29,1756.89
L00100,45100033,V06,M02,Plant 1010,2026-03-03,196,48.06,9419.76
L00101,45100033,V02,M05,Plant 1000,2026-04-19,61,16.7,1018.7
L00102,45100034,V03,M06,Plant 1000,2026-04-14,21,27.55,578.55
L00103,45100034,V03,M03,Plant 1020,2026-05-04,35,38.45,1345.75
L00104,45100034,V04,M04,Plant 1010,2026-03-24,65,43.62,2835.3
L00105,45100035,V03,M04,Plant 1000,2026-08-04,127,40.65,5162.55
L00106,45100035,V01,M02,Plant 1000,2026-02-19,299,14.22,4251.78
L00107,45100035,V05,M04,Plant 1000,2026-08-12,191,38.07,7271.37
L00108,45100036,V04,M03,Plant 1020,2026-04-26,39,40.81,1591.59
L00109,45100036,V04,M02,Plant 1000,2026-04-15,94,37.63,3537.22
L00110,45100036,V06,M05,Plant 1000,2026-06-03,143,2.33,333.19
L00111,45100037,V04,M06,Plant 1020,2026-05-29,91,4.38,398.58
L00112,45100037,V05,M05,Plant 1000,2026-05-13,53,39.98,2118.94
L00113,45100037,V04,M01,Plant 1020,2026-06-13,32,38.19,1222.08
L00114,45100038,V01,M04,Plant 1010,2026-05-25,35,4.54,158.9
L00115,45100038,V04,M03,Plant 1000,2026-07-26,31,48.38,1499.78
L00116,45100038,V02,M06,Plant 1000,2026-06-23,211,11.97,2525.67
L00117,45100039,V01,M03,Plant 1000,2026-03-12,49,30.72,1505.28
L00118,45100039,V05,M01,Plant 1010,2026-04-08,13,25.38,329.94
L00119,45100039,V04,M04,Plant 1000,2026-07-09,197,29.68,5846.96
L00120,45100040,V06,M01,Plant 1000,2026-05-02,234,49.25,11524.5
L00121,45100040,V05,M01,Plant 1010,2026-03-20,164,27.61,4528.04
L00122,45100040,V04,M03,Plant 1010,2026-03-18,71,30.45,2161.95
L00123,45100041,V02,M06,Plant 1020,2026-03-06,224,53.29,11936.96
L00124,45100041,V02,M03,Plant 1000,2026-02-28,257,39.13,10056.41
L00125,45100041,V06,M02,Plant 1000,2026-04-27,196,48.93,9590.28
L00126,45100042,V04,M03,Plant 1010,2026-05-21,289,2.0,578.0
L00127,45100042,V06,M02,Plant 1020,2026-07-10,19,25.44,483.36
L00128,45100042,V06,M01,Plant 1010,2026-02-25,223,16.19,3610.37
L00129,45100043,V05,M02,Plant 1000,2026-05-06,38,18.24,693.12
L00130,45100043,V03,M04,Plant 1000,2026-08-05,170,17.13,2912.1
L00131,45100043,V05,M06,Plant 1000,2026-07-05,19,3.46,65.74
L00132,45100044,V02,M03,Plant 1020,2026-06-04,137,52.31,7166.47
L00133,45100044,V01,M02,Plant 1000,2026-06-28,224,8.64,1935.36
L00134,45100044,V03,M03,Plant 1000,2026-02-16,88,32.97,2901.36
L00135,45100045,V06,M01,Plant 1020,2026-04-22,276,34.11,9414.36
L00136,45100045,V06,M02,Plant 1000,2026-06-07,227,44.12,10015.24
L00137,45100045,V03,M03,Plant 1010,2026-06-07,121,26.43,3198.03
L00138,45100046,V02,M04,Plant 1010,2026-02-25,87,30.23,2630.01
L00139,45100046,V05,M01,Plant 1010,2026-03-11,69,45.16,3116.04
L00140,45100046,V06,M01,Plant 1020,2026-04-07,5,3.74,18.7
L00141,45100047,V02,M04,Plant 1000,2026-08-12,186,22.81,4242.66
L00142,45100047,V02,M03,Plant 1010,2026-04-05,160,31.81,5089.6
L00143,45100047,V02,M03,Plant 1020,2026-05-14,132,45.15,5959.8
L00144,45100048,V01,M05,Plant 1000,2026-06-19,210,20.51,4307.1
L00145,45100048,V02,M04,Plant 1010,2026-05-21,24,6.97,167.28
L00146,45100048,V01,M06,Plant 1010,2026-04-26,107,44.21,4730.47
L00147,45100049,V04,M06,Plant 1000,2026-06-13,278,35.02,9735.56
L00148,45100049,V04,M06,Plant 1020,2026-02-15,58,29.12,1688.96
L00149,45100049,V05,M02,Plant 1000,2026-05-23,16,18.81,300.96
L00150,45100050,V05,M03,Plant 1020,2026-06-24,201,28.56,5740.56
